------------------------------------------------------------------------------------------
Begin Training Report
------------------------------------------------------------------------------------------
Epoch [194/2000]	Loss: 4.7920	Infidelity: 0.1969	Energy difference: 0.0207
Epoch [195/2000]	Loss: 4.7920	Infidelity: 0.2142	Energy difference: 0.0213
Epoch [196/2000]	Loss: 4.7919	Infidelity: 0.1830	Energy difference: 0.0184
Epoch [197/2000]	Loss: 4.7918	Infidelity: 0.2177	Energy difference: 0.0217
Epoch [198/2000]	Loss: 4.7917	Infidelity: 0.2039	Energy difference: 0.0202
Epoch [199/2000]	Loss: 4.7916	Infidelity: 0.1847	Energy difference: 0.0170
Epoch [200/2000]	Loss: 4.7915	Infidelity: 0.1868	Energy difference: 0.0199
Epoch [201/2000]	Loss: 4.7914	Infidelity: 0.1934	Energy difference: 0.0192
Epoch [202/2000]	Loss: 4.7913	Infidelity: 0.2095	Energy difference: 0.0182
Epoch [203/2000]	Loss: 4.7912	Infidelity: 0.1958	Energy difference: 0.0211
Epoch [204/2000]	Loss: 4.7911	Infidelity: 0.1930	Energy difference: 0.0188
Epoch [205/2000]	Loss: 4.7910	Infidelity: 0.1986	Energy difference: 0.0232
Epoch [206/2000]	Loss: 4.7909	Infidelity: 0.1919	Energy difference: 0.0148
Epoch [207/2000]	Loss: 4.7908	Infidelity: 0.1994	Energy difference: 0.0198
Epoch [208/2000]	Loss: 4.7907	Infidelity: 0.2007	Energy difference: 0.0190
Epoch [209/2000]	Loss: 4.7906	Infidelity: 0.2161	Energy difference: 0.0219
Epoch [210/2000]	Loss: 4.7905	Infidelity: 0.2040	Energy difference: 0.0214
Epoch [211/2000]	Loss: 4.7904	Infidelity: 0.2011	Energy difference: 0.0203
Epoch [212/2000]	Loss: 4.7903	Infidelity: 0.2051	Energy difference: 0.0188
Epoch [213/2000]	Loss: 4.7902	Infidelity: 0.2134	Energy difference: 0.0184
Epoch [214/2000]	Loss: 4.7901	Infidelity: 0.1822	Energy difference: 0.0186
Epoch [215/2000]	Loss: 4.7900	Infidelity: 0.2002	Energy difference: 0.0165
Epoch [216/2000]	Loss: 4.7899	Infidelity: 0.1822	Energy difference: 0.0206
Epoch [217/2000]	Loss: 4.7898	Infidelity: 0.2072	Energy difference: 0.0196
Epoch [218/2000]	Loss: 4.7897	Infidelity: 0.1828	Energy difference: 0.0200
Epoch [219/2000]	Loss: 4.7896	Infidelity: 0.1863	Energy difference: 0.0169
Epoch [220/2000]	Loss: 4.7895	Infidelity: 0.1945	Energy difference: 0.0160
Epoch [221/2000]	Loss: 4.7893	Infidelity: 0.1966	Energy difference: 0.0217
Epoch [222/2000]	Loss: 4.7892	Infidelity: 0.2009	Energy difference: 0.0165
Epoch [223/2000]	Loss: 4.7891	Infidelity: 0.1908	Energy difference: 0.0162
Epoch [224/2000]	Loss: 4.7890	Infidelity: 0.1901	Energy difference: 0.0191
